artist_name,headline_count,positive_headlines,avg_sentiment_confidence,sentiment_score
Adrianne Lenker,2,2,0.9950778484344482,1.0
Arlo Parks,14,11,0.956876597234181,0.786
Benson Boone,20,18,0.9798812359571457,0.9
Billie Eilish,20,11,0.9775644093751907,0.55
Cautious Clay,2,2,0.9816122949123383,1.0
Chappell Roan,19,12,0.9618694437177557,0.632
Circuit des Yeux,1,1,0.999642014503479,1.0
Clairo,19,15,0.9380834384968406,0.789
Conan Gray,7,5,0.9945252197129386,0.714
Doechii,20,12,0.994984832406044,0.6
Doja Cat,18,4,0.9756955669985877,0.222
Ethel Cain,19,11,0.9868804592835275,0.579
FKA Twigs,19,7,0.9463174437221727,0.368
Faye Webster,3,3,0.9907337427139282,1.0
Gayle,20,12,0.9645041763782501,0.6
Giveon,6,4,0.9489319324493408,0.667
Glass Animals,8,5,0.9578892737627029,0.625
Gracie Abrams,18,14,0.9611745410495334,0.778
Hand Habits,5,2,0.9119890809059144,0.4
Ice Spice,19,6,0.9690239868665996,0.316
Indigo De Souza,1,1,0.9982476234436035,1.0
Joji,17,9,0.93181452330421,0.529
Lil Nas X,13,7,0.9697515185062702,0.538
Lizzy McAlpine,8,8,0.9912587255239487,1.0
Mk.gee,20,12,0.9574201285839081,0.6
Noah Kahan,20,15,0.9561248779296875,0.75
Olivia Rodrigo,19,10,0.9437116196281031,0.526
Omar Apollo,4,2,0.9099124521017075,0.5
Phoebe Bridgers,19,9,0.9275575186076918,0.474
Rema,17,14,0.9654886582318474,0.824
Roddy Ricch,2,1,0.9956819415092468,0.5
Sabrina Carpenter,19,15,0.9247085640304967,0.789
Squirrel Flower,5,5,0.9168769240379333,1.0
Stephen Sanchez,4,3,0.9725417643785477,0.75
Surfaces,20,9,0.9291079998016357,0.45
Tate McRae,19,14,0.970922523423245,0.737
Teddy Swims,20,17,0.9714504390954971,0.85
Tinashe,19,12,0.9655049192278009,0.632
Tyla,17,15,0.9885335354244008,0.882
UMI,20,9,0.914820471405983,0.45
Waxahatchee,15,14,0.9662268042564393,0.933
Wednesday,18,11,0.9611296852429708,0.611
Wet Leg,20,16,0.9368228942155838,0.8
beabadoobee,7,4,0.9940699253763471,0.571
